user_idx,item_idx,rating,reward,timestamp,step
0,167,5,1.0,874965478,0
0,171,5,1.0,874965478,1
0,164,5,1.0,874965518,2
0,155,4,1.0,874965556,3
0,195,5,1.0,874965677,4
0,165,5,1.0,874965677,5
0,186,4,1.0,874965678,6
0,13,5,1.0,874965706,7
0,249,4,1.0,874965706,8
0,126,5,1.0,874965706,9
0,116,3,0.0,874965739,10
0,180,5,1.0,874965739,11
0,108,5,1.0,874965739,12
0,0,5,1.0,874965758,13
0,245,5,1.0,874965905,14
0,247,4,1.0,874965954,15
0,256,4,1.0,874965954,16
0,49,5,1.0,874965954,17
0,252,5,1.0,874965970,18
0,248,4,1.0,874965970,19
0,261,3,0.0,875071421,20
0,223,5,1.0,875071484,21
0,92,5,1.0,875071484,22
0,123,5,1.0,875071484,23
0,18,5,1.0,875071515,24
0,136,5,1.0,875071541,25
0,122,4,1.0,875071541,26
0,145,4,1.0,875071561,27
0,6,4,1.0,875071561,28
0,234,5,1.0,875071589,29
0,14,5,1.0,875071608,30
0,259,1,-0.5,875071713,31
0,263,2,-0.5,875071713,32
0,23,3,0.0,875071713,33
0,244,2,-0.5,875071713,34
0,125,2,-0.5,875071713,35
0,236,2,-0.5,875071749,36
0,24,4,1.0,875071805,37
0,12,5,1.0,875071805,38
0,120,4,1.0,875071823,39
0,250,4,1.0,875071843,40
0,235,4,1.0,875071898,41
0,239,3,0.0,875071898,42
0,117,3,0.0,875071927,43
0,129,3,0.0,875072002,44
0,46,4,1.0,875072125,45
0,64,4,1.0,875072125,46
0,189,5,1.0,875072125,47
0,30,3,0.0,875072144,48
0,113,5,1.0,875072173,49
0,38,4,1.0,875072173,50
0,27,4,1.0,875072173,51
0,51,4,1.0,875072205,52
0,237,4,1.0,875072235,53
0,182,5,1.0,875072262,54
0,68,3,0.0,875072262,55
0,198,4,1.0,875072262,56
0,10,2,-0.5,875072262,57
0,160,4,1.0,875072303,58
0,94,4,1.0,875072303,59
0,59,5,1.0,875072370,60
0,178,3,0.0,875072370,61
0,82,3,0.0,875072370,62
0,63,5,1.0,875072404,63
0,97,4,1.0,875072404,64
0,21,4,1.0,875072404,65
0,134,4,1.0,875072404,66
0,201,5,1.0,875072442,67
0,162,4,1.0,875072442,68
0,25,3,0.0,875072442,69
0,88,5,1.0,875072484,70
0,7,1,-0.5,875072484,71
0,213,4,1.0,875072520,72
0,181,4,1.0,875072520,73
0,47,5,1.0,875072520,74
0,159,4,1.0,875072547,75
0,174,5,1.0,875072547,76
0,98,3,0.0,875072547,77
0,191,4,1.0,875072547,78
0,127,4,1.0,875072573,79
0,179,3,0.0,875072573,80
0,184,4,1.0,875072631,81
0,142,1,-0.5,875072631,82
0,67,4,1.0,875072688,83
0,54,5,1.0,875072688,84
0,203,5,1.0,875072688,85
0,55,4,1.0,875072716,86
0,95,5,1.0,875072716,87
0,80,5,1.0,875072865,88
0,150,4,1.0,875072865,89
0,78,4,1.0,875072865,90
0,69,3,0.0,875072895,91
0,211,4,1.0,875072895,92
0,22,4,1.0,875072895,93
0,83,4,1.0,875072923,94
0,183,4,1.0,875072956,95
0,196,5,1.0,875072956,96
0,190,5,1.0,875072956,97
0,93,2,-0.5,875072956,98
0,133,4,1.0,875073067,99
0,144,2,-0.5,875073067,100
0,206,5,1.0,875073067,101
0,185,4,1.0,875073128,102
0,96,3,0.0,875073128,103
0,187,3,0.0,875073128,104
0,158,3,0.0,875073180,105
0,84,3,0.0,875073180,106
0,35,2,-0.5,875073180,107
0,143,4,1.0,875073180,108
0,16,3,0.0,875073198,109
0,173,5,1.0,875073198,110
0,251,2,-0.5,875240677,111
0,104,2,-0.5,875240739,112
0,147,2,-0.5,875240799,113
0,107,5,1.0,875240920,114
0,146,3,0.0,875240993,115
0,242,1,-0.5,875241390,116
0,219,3,0.0,875241390,117
0,105,4,1.0,875241390,118
0,121,3,0.0,875241498,119
0,103,1,-0.5,875241619,120
0,106,4,1.0,875241619,121
0,246,1,-0.5,875241619,122
0,119,1,-0.5,875241637,123
0,44,5,1.0,875241687,124
0,267,5,1.0,875692927,125
0,266,4,1.0,875692955,126
0,258,1,-0.5,875692979,127
0,260,1,-0.5,875692992,128
0,262,1,-0.5,875693007,129
0,9,3,0.0,875693118,130
0,149,5,1.0,876892196,131
0,233,4,1.0,876892355,132
0,91,3,0.0,876892425,133
0,70,3,0.0,876892425,134
0,41,5,1.0,876892425,135
0,175,5,1.0,876892468,136
0,90,5,1.0,876892636,137
0,192,4,1.0,876892654,138
0,216,3,0.0,876892676,139
0,176,5,1.0,876892701,140
